name,deliveryFee_deliveroo,city,deliveryFee_takeaway,fee_difference
The Avocado Bar Mechelen,4.99,Mechelen,3.49,1.5
The Avocado Bar Mechelen,4.99,Mechelen,3.49,1.5
The Avocado Bar Mechelen,4.99,Mechelen,3.49,1.5
T'more Enjoy,4.99,Leuven,2.99,2.0
Cups 'n Crepes,4.99,Antwerpen,5.59,-0.5999999999999996
Cups 'n Crepes,4.99,Antwerpen,5.59,-0.5999999999999996
RUBA healthy & fresh food,4.99,Leuven,2.99,2.0
Damasco Leuven,4.99,Leuven,2.99,2.0
Damasco Leuven,4.99,Leuven,2.99,2.0
Nepal Delight,4.99,Gent,0.0,4.99
Snack Dylan,4.99,Evere,0.0,4.99
Le Pain Quotidien Antwerpen - catering,4.99,Antwerpen,3.49,1.5
FRESHNESS,4.99,Leuven,2.99,2.0
FRESHNESS,4.99,Leuven,2.99,2.0
EEtaliaan Leuven,4.99,Leuven,2.99,2.0
EEtaliaan Leuven,4.99,Leuven,2.99,2.0
F'ons Frietje,4.99,Leuven,2.99,2.0
F'ons Frietje,4.99,Leuven,2.99,2.0
Amigos Leuven,4.99,Leuven,2.99,2.0
Amigos Leuven,4.99,Leuven,2.99,2.0
Frituur Station,4.99,Kessel-Lo,2.5,2.49
B-Cook,4.99,Ukkel,5.59,-0.5999999999999996
Opera Helmet,4.99,Bruxelles,5.59,-0.5999999999999996
Bocca,4.99,Gent,4.84,0.15000000000000036
Friethuis Dinner Time,4.99,Deurne,4.84,0.15000000000000036
Loco Pizza 2,4.99,Leuven,0.0,4.99
L'Etoile d'Or Leuven,4.99,Leuven,3.49,1.5
Restaurant Little Asia (Thai & Vietnam Kitchen),4.99,Gent,4.84,0.15000000000000036
Pizza Pasta Locale,0.01,Antwerpen,0.0,0.01
Frituur Belgium,4.99,Leuven,2.99,2.0
Pita Amon,4.99,Antwerpen,4.84,0.15000000000000036
Pizzaria Mr. Sebino,4.99,Brugge,0.0,4.99
BohoBowl,4.99,Antwerpen,1.5,3.49
CASPER Gent,4.99,Gent,4.84,0.15000000000000036
CASPER Gent,4.99,Gent,4.84,0.15000000000000036
Hacked by De Vegetarische Slager,4.99,Gent,4.84,0.15000000000000036
Hacked by De Vegetarische Slager,4.99,Gent,4.84,0.15000000000000036
GLORIA's BAKED PASTA,4.99,Gent,4.84,0.15000000000000036
GLORIA's BAKED PASTA,4.99,Gent,4.84,0.15000000000000036
PURE.,4.99,Gent,4.84,0.15000000000000036
PURE.,4.99,Gent,4.84,0.15000000000000036
BERTHA,4.99,Gent,4.84,0.15000000000000036
BERTHA,4.99,Gent,4.84,0.15000000000000036
THE SWEET LAB.,4.99,Gent,4.84,0.15000000000000036
THE SWEET LAB.,4.99,Gent,4.84,0.15000000000000036
Foodmaker Berchem,4.99,Berchem,5.59,-0.5999999999999996
Himschoot ,4.99,Gent,4.84,0.15000000000000036
Pam Pam Schaerbeek,4.99,Bruxelles,5.59,-0.5999999999999996
Kalura,4.99,Antwerpen,4.84,0.15000000000000036
Wok Yu,4.99,Gent,3.5,1.4900000000000002
Belchicken - Mechelen,4.99,Mechelen,3.49,1.5
Laila Tandoori GNT,4.99,Gent,5.59,-0.5999999999999996
Mundo Latino,4.99,Bruxelles,2.99,2.0
Royale Pizza Express,4.99,Molenbeek-Saint-Jean,2.99,2.0
Ankara,4.99,Gent,4.84,0.15000000000000036
La Loggia MEC,4.99,Mechelen,3.99,1.0
Taste of india GNT,4.99,Gent,5.59,-0.5999999999999996
O'tagine Antwerp,4.99,Antwerpen,5.59,-0.5999999999999996
Kalypta,4.99,Leuven,0.0,4.99
Nonna stella Gent,4.99,Gent,4.84,0.15000000000000036
Takumi Ramen Kitchen,4.99,Antwerpen,3.49,1.5
I love Pizza BJE,4.99,Ganshoren,0.0,4.99
Sandwichbar Mina,4.99,Gent,5.59,-0.5999999999999996
Asianking Ghent,4.99,Gent,5.59,-0.5999999999999996
Freshmade Berchem,4.99,Berchem,5.59,-0.5999999999999996
Nuoc Mam,4.99,Antwerpen,5.59,-0.5999999999999996
Snack Deniz GENT,4.99,Gent,4.84,0.15000000000000036
Panos Gent-Zuid,4.99,Gent,4.84,0.15000000000000036
CASPER Antwerp,4.99,Antwerpen,5.59,-0.5999999999999996
Hacked by De Vegetarische Slager,4.99,Antwerpen,5.59,-0.5999999999999996
GLORIA's BAKED PASTA,4.99,Antwerpen,5.59,-0.5999999999999996
PURE.,4.99,Antwerpen,5.59,-0.5999999999999996
BERTHA,4.99,Antwerpen,5.59,-0.5999999999999996
THE SWEET LAB.,4.99,Antwerpen,5.59,-0.5999999999999996
Romain's Lunch Bar,4.99,Antwerpen,5.59,-0.5999999999999996
Croquettenbar Smaeck,4.99,Antwerpen,5.59,-0.5999999999999996
Sancho's Snacks & More,4.99,Brugge,4.49,0.5
La Cantina del coronel,4.99,Leuven,2.99,2.0
Sangeetha Vegetarian Restaurant Antwerp,4.99,Antwerpen,5.59,-0.5999999999999996
Nobu Sushi,4.99,Leuven,4.84,0.15000000000000036
Dunkin,4.99,Antwerpen,3.49,1.5
Paul,4.99,Schaerbeek,0.0,4.99
Paul,4.99,Bruxelles,3.84,1.1500000000000004
Paul,4.99,Bruxelles,3.84,1.1500000000000004
Paul,4.99,Bruxelles,3.84,1.1500000000000004
Frituur Hazegras,4.99,Oostende,6.0,-1.0099999999999998
Frituur Arré Patat,4.99,Antwerpen,5.59,-0.5999999999999996
Ronin,4.99,Oostende,3.5,1.4900000000000002
Jagat's Place,4.99,Leuven,2.99,2.0
Alma Libre - Vleeshalle,4.99,Malines,3.49,1.5
Alma Libre - Vleeshalle,4.99,Mechelen,3.49,1.5
Alma Libre - Vleeshalle,4.99,Mechelen,3.49,1.5
Alma Libre - Vleeshalle,4.99,Mechelen,3.49,1.5
Alma Libre - Vleeshalle,4.99,Mechelen,3.49,1.5
Mythos - Vleeshalle,4.99,Malines,3.49,1.5
Mythos - Vleeshalle,4.99,Mechelen,3.49,1.5
Mythos - Vleeshalle,4.99,Mechelen,3.49,1.5
Mythos - Vleeshalle,4.99,Mechelen,3.49,1.5
Mythos - Vleeshalle,4.99,Mechelen,3.49,1.5
Ball Street NYC ,4.99,Malines,3.49,1.5
Ball Street NYC ,4.99,Mechelen,3.49,1.5
Ball Street NYC ,4.99,Mechelen,3.49,1.5
Ball Street NYC ,4.99,Mechelen,3.49,1.5
Ball Street NYC ,4.99,Mechelen,3.49,1.5
Belchicken Rooigemlaan,4.99,Gent,5.59,-0.5999999999999996
Aahaar Delux,4.99,Antwerpen,3.49,1.5
Tapas La Qia - Vleeshalle,4.99,Malines,3.49,1.5
Tapas La Qia - Vleeshalle,4.99,Mechelen,3.49,1.5
Tapas La Qia - Vleeshalle,4.99,Mechelen,3.49,1.5
Tapas La Qia - Vleeshalle,4.99,Mechelen,3.49,1.5
Tapas La Qia - Vleeshalle,4.99,Mechelen,3.49,1.5
Foodmaker ,4.99,Gent,4.84,0.15000000000000036
Frituur iny-mini,5.0,Berchem,0.0,5.0
De Mama Food shop,4.99,Antwerpen,5.59,-0.5999999999999996
The Funky Potato,4.99,Antwerpen,5.59,-0.5999999999999996
Oli’s Friet & Eat,4.99,Oostende,2.49,2.5
New Asia,4.99,Schaerbeek,0.0,4.99
Palazzo,4.99,Deurne,0.0,4.99
Frituur de Smulpaep,4.99,Antwerpen,4.84,0.15000000000000036
SushiOostende,4.99,Oostende,4.49,0.5
Le Mainz,4.99,Uccle,5.59,-0.5999999999999996
Pitta Sena ,4.99,Gent,5.59,-0.5999999999999996
Le Pain Quotidien ,4.99,Antwerpen,4.84,0.15000000000000036
New Delhi Traiteur,4.99,Evere,5.59,-0.5999999999999996
Restaurant Tarboosh,4.99,Mechelen,0.5,4.49
Tabi Loo,4.99,Leuven,2.99,2.0
McDonald's,4.99,Antwerpen,3.49,1.5
BARNEY's BURGERS,4.99,Gent,4.84,0.15000000000000036
BARNEY's BURGERS,4.99,Gent,4.84,0.15000000000000036
BARNEY's BURGERS,4.99,Antwerpen,5.59,-0.5999999999999996
Chitir Chicken Woluwe Shopping ,4.99,Woluwé-Saint-Lambert,5.59,-0.5999999999999996
Guerrilla Streetfood,4.99,Oostende,3.49,1.5
Pizza Talia Concept,4.99,Gent,0.0,4.99
Chez Eline,4.99,Malines,3.49,1.5
Chez Eline,4.99,Mechelen,3.49,1.5
Chez Eline,4.99,Mechelen,3.49,1.5
Chez Eline,4.99,Mechelen,3.49,1.5
Chez Eline,4.99,Mechelen,3.49,1.5
O'Tacos Docks,4.99,Schaerbeek,0.0,4.99
O'Tacos Docks,4.99,Bruxelles,3.84,1.1500000000000004
O'Tacos Docks,4.99,Bruxelles,3.84,1.1500000000000004
O'Tacos Docks,4.99,Bruxelles,3.84,1.1500000000000004
Mixor Kebab,4.99,Antwerpen,3.49,1.5
Il Cardinale - Vleeshalle,4.99,Malines,3.49,1.5
Il Cardinale - Vleeshalle,4.99,Mechelen,3.49,1.5
Il Cardinale - Vleeshalle,4.99,Mechelen,3.49,1.5
Il Cardinale - Vleeshalle,4.99,Mechelen,3.49,1.5
Il Cardinale - Vleeshalle,4.99,Mechelen,3.49,1.5
Curry Panda,4.99,Deurne,4.84,0.15000000000000036
Jack Premium Burgers,4.99,Oostende,3.49,1.5
Andrea Xiang BV,4.99,Gent,4.84,0.15000000000000036
De Klimop,4.99,Leuven,3.49,1.5
Poule & Poulette,4.99,Leuven,2.99,2.0
Visbar,4.99,Leuven,2.99,2.0
Visbar,4.99,Leuven,2.99,2.0
Buns & Roses ,4.99,Oostende,3.49,1.5
Buns & Roses - Zuid,4.99,Gent,4.84,0.15000000000000036
The Vegan Burger Store,4.99,Oostende,3.49,1.5
The Vegan Burger Store  - Zuid,4.99,Gent,4.84,0.15000000000000036
Sticky Wings,4.99,Oostende,3.49,1.5
Sticky Wings - Zuid,4.99,Gent,4.84,0.15000000000000036
McDonald's ,4.99,Oostende,2.49,2.5
Hoffys Take Away,4.99,Antwerpen,5.59,-0.5999999999999996
Pizza Gulhan,4.99,Gent,4.84,0.15000000000000036
Zilverpot,4.99,Gent,9.58,-4.59
Midpoint ,4.99,Gent,5.59,-0.5999999999999996
Sushi Plaza,4.99,Gent,5.59,-0.5999999999999996
Pizzeria steakhouse,4.99,Antwerpen,0.0,4.99
Frituur De Bunch,4.99,Gent,4.84,0.15000000000000036
la cite du mandarin,4.99,Drogenbos,5.0,-0.009999999999999787
Foubert - Ice cream & pancakes,4.99,Sint-Niklaas,0.0,4.99
't Centerken,4.99,Sint-Niklaas,0.0,4.99
Pizza Hut Aalst,4.99,Alost,1.99,3.0
Romy - Aalst,4.99,Aalst,4.95,0.040000000000000036
Yummy Thai wok,4.99,Antwerpen,5.59,-0.5999999999999996
Athene,4.99,Antwerpen,5.59,-0.5999999999999996
Pizarro Antwerpen,4.99,Antwerpen,5.59,-0.5999999999999996
YouWok Bruxelles Docks,4.99,Schaerbeek,0.0,4.99
YouWok Bruxelles Docks,4.99,Bruxelles,3.84,1.1500000000000004
YouWok Bruxelles Docks,4.99,Bruxelles,3.84,1.1500000000000004
YouWok Bruxelles Docks,4.99,Bruxelles,3.84,1.1500000000000004
Favoriete,4.99,Mechelen,5.0,-0.009999999999999787
Blend Wines ,4.99,Oostende,3.49,1.5
Kebab@home,4.99,Aalst,0.0,4.99
Pizza Hoot,4.99,Schaerbeek,0.0,4.99
Belchicken ,4.99,Antwerpen,4.84,0.15000000000000036
WASBAR De Keyserlei,4.99,Antwerpen,3.49,1.5
Texas burger,4.99,Laeken,3.84,1.1500000000000004
Wims Deli,4.99,Leuven,2.99,2.0
Wims Deli,4.99,Mechelen,3.49,1.5
Africalicious,4.99,Alost,0.0,4.99
Dunkin,4.99,Gent,5.59,-0.5999999999999996
Hell’s Kitchen Antwerp,4.99,Antwerpen,5.59,-0.5999999999999996
Bobonne,4.99,Antwerpen,5.59,-0.5999999999999996
Monsieur Marcel ,4.99,Antwerpen,5.59,-0.5999999999999996
Little Sinksenfoor,4.99,Antwerpen,5.59,-0.5999999999999996
Oh My Burger! Antwerp,4.99,Antwerpen,5.59,-0.5999999999999996
 L'italiano,4.99,Leuven,2.99,2.0
Royal India,4.99,Sint-Truiden,3.0,1.9900000000000002
Giussepe's,4.99,Gent,5.59,-0.5999999999999996
IL Fuoco,4.99,Brugge,0.0,4.99
Twilight Sushi,4.99,Gent,2.0,2.99
Nam Sam Leuven,4.99,Leuven,2.99,2.0
Asia Bowl,4.99,Leuven,2.99,2.0
Crèmerie Marie,4.99,Gent,4.84,0.15000000000000036
Holy Guacamoly Antwerpen,4.99,Antwerpen,4.84,0.15000000000000036
Sushi Love,4.99,Gent,4.84,0.15000000000000036
Lunch Garden,4.99,Berchem-Sainte-Agathe,2.0,2.99
Lord of the wedges,4.99,Antwerpen,5.59,-0.5999999999999996
Buurtwinkel,4.99,Gent,4.84,0.15000000000000036
Pink Pizza ,4.99,Genk,5.0,-0.009999999999999787
Tom Yam & Pizzas Stockel,4.99,Woluwe-Saint-Pierre,0.0,4.99
Boulangerie D’anvers,4.99,Antwerpen,4.84,0.15000000000000036
Wims Deli Gent,4.99,Gent,4.84,0.15000000000000036
Kuala lumpur,4.99,Antwerpen,3.49,1.5
Yaki Noodles Bar,4.99,Gent,3.49,1.5
Frituur Zuid,4.99,Gent,3.49,1.5
Lavinia,4.99,Leuven,2.99,2.0
THE BAGEL ARMY,4.99,Gent,4.84,0.15000000000000036
THE BAGEL ARMY,4.99,Gent,4.84,0.15000000000000036
De Brasserie,4.99,Gent,4.84,0.15000000000000036
De Brasserie,4.99,Gent,4.84,0.15000000000000036
THE BAGEL ARMY,4.99,Antwerpen,5.59,-0.5999999999999996
De Brasserie,4.99,Antwerpen,5.59,-0.5999999999999996
Himalayan Restaurant OST,4.99,Oostende,0.0,4.99
Tota Empanadas 2,4.99,Antwerpen,5.59,-0.5999999999999996
Tota Empanadas 2,4.99,Antwerpen,5.59,-0.5999999999999996
KFC Antwerp,4.99,Antwerpen,5.59,-0.5999999999999996
San Sushi,4.99,Brugge,4.49,0.5
Bouff ,4.99,Roeselare,0.0,4.99
Waffle and juice,4.99,Anvers,5.59,-0.5999999999999996
Wolfgang,4.99,Leuven,2.99,2.0
Hey Joo,4.99,Gent,4.84,0.15000000000000036
Snack du Chef,4.99,Vilvoorde,3.0,1.9900000000000002
Garlic n Greens,4.99,Brugge,4.49,0.5
Moana Pokébowls,4.99,Brugge,4.49,0.5
Antwerp Fried Chicken Gent,4.99,Gent,3.5,1.4900000000000002
Brugge Kebab,4.99,Brugge,4.49,0.5
LIFE IS BEAUTIFUL Cocktails,4.99,Gent,4.84,0.15000000000000036
LIFE IS BEAUTIFUL Cocktails,4.99,Gent,4.84,0.15000000000000036
Kwat,0.0,Antwerpen,5.59,-5.59
Jb sushi bar & wok,4.99,Schaarbeek,5.59,-0.5999999999999996
Chamas Tacos Laeken,4.99,Laeken,0.0,4.99
Pretzel King,4.99,Roeselare,9.0,-4.01
Hawaiian Poké Bowl - Docks Shopping,4.99,Schaerbeek,0.0,4.99
Hawaiian Poké Bowl - Docks Shopping,4.99,Bruxelles,3.84,1.1500000000000004
Hawaiian Poké Bowl - Docks Shopping,4.99,Bruxelles,3.84,1.1500000000000004
Hawaiian Poké Bowl - Docks Shopping,4.99,Bruxelles,3.84,1.1500000000000004
Mia pizza evere BEVR,4.99,Evere,5.0,-0.009999999999999787
Al Dente bevr,4.99,Evere,5.0,-0.009999999999999787
Sushi Shisaido,4.99,Oostende,2.49,2.5
Sushi Buzz,4.99,Schaarbeek,1.99,3.0
Pita Planet,4.99,Sint-Niklaas,0.0,4.99
Friethuis 1958,4.99,Mechelen,3.99,1.0
Nani,4.99,Antwerpen,5.59,-0.5999999999999996
